brand,j_type,rating_no_clean,rating,review_no_clean,review_num,price_no_clean,price
GUESS,bow top logo drop ear  ,3.9 out of 5 stars,3.9,3,3,SAR 107.76,107.76
Swarovski,"Solitaire Pierced Earrings, White, Rose gold plating  ",4.7 out of 5 stars,4.7,184,184,SAR 235.30,235.3
GUESS,"Flower Bracelet for Women, Gold Plated - UBB51495N  ",1.0 out of 5 stars,1,1,1,,
Swarovski,"Swarovski Women's Tennis Deluxe Jewelry Collection, Rhodium Finish, Rose Gold Finish, Clear Crystals  ",4.7 out of 5 stars,4.7,49,49,SAR 693.02,693.02
Swarovski,Dancing Swan Necklace  ,4.6 out of 5 stars,4.6,120,120,SAR 836.92,836.92
GUESS,"Womens Stainless Steel Fashion Earring - UBE71542N, Color Gold  ",5.0 out of 5 stars,5,1,1,SAR 120.34,120.34
GUESS,Women's Earrings UBE28047  ,3.0 out of 5 stars,3,4,4,SAR 127.43,127.43
Swarovski,Rare Ring  ,4.7 out of 5 stars,4.7,9,9,SAR 304.09,304.09
GUESS,Ladies Bracelet UBB70088-L  ,,,,,SAR 121.06,121.06
GUESS,Ladies Earrings UBE70040  ,,,,,SAR 95.70,95.7
GUESS,"Arm Bracelet for Women, Stainless Steel - UBB51422N  ",,,,,SAR 175.95,175.95
Swarovski,Women’s Rose-Gold Tone Plated White Crystal Attract Pierced Earrings 5509935  ,4.6 out of 5 stars,4.6,258,258,,
Swarovski,Women's White Rose-gold tone plated Lifelong Bangle 5390818  ,4.6 out of 5 stars,4.6,280,280,,
Swarovski,Women's Subtle Bracelet  ,4.7 out of 5 stars,4.7,690,690,SAR 563.73,563.73
GUESS,"Womens Stainless Steel Fashion Necklace - UBN79065, Color Silver, Size 45 cm  ",4.2 out of 5 stars,4.2,4,4,SAR 124.35,124.35
GUESS,Coin UBN79076 Necklace Silver Steel  ,4.3 out of 5 stars,4.3,10,10,SAR 213.20,213.2
GUESS,"Bracelet for Women, UBB71297N  ",4.0 out of 5 stars,4,1,1,,
GUESS,Women's Necklace UBN81105  ,,,,,SAR 293.25,293.25
GUESS,Metal Pendant Necklace for Women - UBN11316N  ,4.1 out of 5 stars,4.1,2,2,SAR 136.68,136.68
Swarovski,"Women's Attract Soul Pierced Earrings, Pink, Rhodium plated  ",4.8 out of 5 stars,4.8,163,163,SAR 343.17,343.17
GUESS,"Womens Stainless Steel Fashion Bracelet - UBB29030-L, Color Silver, Size L  ",4.0 out of 5 stars,4,1,1,SAR 129.00,129
GUESS,"Womens Stainless Steel Fashion Bracelet - UBN29044, Color Silver, Size 16-18 Inches  ",,,,,SAR 137.96,137.96
GUESS,Women's Earrings UBE29013  ,4.4 out of 5 stars,4.4,27,27,SAR 127.43,127.43
Swarovski,"Swarovski Women's Sparkling Dance Jewelry Collection, Rhodium Finish, Green Crystals, Clear Crystals  ",4.6 out of 5 stars,4.6,226,226,SAR 567.63,567.63
Swarovski,"EarringS for Women, 5430365  ",4.7 out of 5 stars,4.7,272,272,SAR 274.12,274.12
GUESS,"Womens Stainless Steel Fashion Bracelet - UBN84059, Color Gold, Size 3.94 inches  ",,,,,SAR 145.22,145.22
Swarovski,"Women's Sparking Dance Crystal Jewelry Collection, Rose Gold Tone Finish  ",4.6 out of 5 stars,4.6,158,158,SAR 489.72,489.72
GUESS,"Extra Large Steel Smooth Hoop Earrings by GUESS, Gold Colored Hoop Earrings  ",,,,,SAR 68.26,68.26
GUESS,Floral Statement Drop Earring with Light Pink Glass Stone  ,,,,,SAR 107.20,107.2
GUESS,Floral Linear Earring Key Charm and Light Pink Colored Glass Stone  ,,,,,SAR 107.17,107.17
GUESS,Linear Drop Earring with Stone  ,,,,,SAR 121.13,121.13
GUESS,Wine Colored Flower Linear Earring with Glass Stone  ,,,,,SAR 107.46,107.46
GUESS,Gold Toned Puffed Heart Charm Hoop  ,,,,,SAR 104.24,104.24
GUESS,Wine Colored Hoop with Heart Charm  ,,,,,SAR 104.24,104.24
GUESS,Floral Heart Toggle Charm Bracelet  ,,,,,SAR 166.90,166.9
